type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,latitude,longitude,borough,price_per_sqft,price_range
Townhouse,975000,3,2,1734.0,"Woodside, NY 11377",United States,New York,Queens County,40.7607676,-73.9056672,Queens,562.28,$500K–$1M
Co-Op,199000,3,1,325.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6181029,-74.0369047,Brooklyn,612.31,< $500K
Co-Op,350000,1,1,700.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,40.9073699,-73.9065578,Bronx,500.0,< $500K
Condo,599000,2,2,974.0,"Rego Park, NY 11374",New York,Queens County,Queens,40.7324713,-73.8670804,Queens,614.99,$500K–$1M
House,639999,3,2,1260.0,"Staten Island, NY 10301",United States,New York,Richmond County,40.6207403,-74.1114362,Staten Island,507.94,$500K–$1M
Condo,1300000,2,2,1244.0,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7202429,-73.8430513,Queens,1045.02,$1M–$2M
Multi-Family,1100000,6,3,2837.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8343936,-73.8221101,Bronx,387.73,$1M–$2M
Condo,349900,1,1,651.0,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.5902064,-74.0958034,Staten Island,537.48,< $500K
House,750000,2,2,1330.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.5039785,-74.2396555,Staten Island,563.91,$500K–$1M
Multi-Family,1690000,6,4,2200.0,"Briarwood, NY 11435",United States,New York,Queens County,40.710749,-73.809486,Queens,768.18,$1M–$2M
Co-Op,325000,1,1,2184.207862,"Queens, NY 11372",New York,Queens County,Queens,40.7505078,-73.8851355,Queens,148.8,< $500K
Multi-Family,2250000,12,2,5670.0,"Brooklyn, NY 11214",11214,United States,New York,40.602654,-73.9869399,Manhattan,396.83,$2M–$5M
Co-Op,230000,1,1,2184.207862,"Jackson Heights, NY 11372",United States,New York,Queens County,40.7557689,-73.8734231,Queens,105.3,< $500K
Multi-Family,1299888,10,6,3156.0,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.6155667,-74.0869554,Staten Island,411.88,$1M–$2M
Multi-Family,925000,5,2,2750.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8242389,-73.8173809,Bronx,336.36,$500K–$1M
Condo,329000,1,2,794.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6210398,-74.1504313,Staten Island,414.36,< $500K
Multi-Family,1300000,10,8,5040.0,"Staten Island, NY 10303",New York,Richmond County,Staten Island,40.6274381,-74.1581613,Staten Island,257.94,$1M–$2M
Multi-Family,848000,5,4,2080.0,"Brooklyn, NY 11207",United States,New York,Kings County,40.6615475,-73.898309,Brooklyn,407.69,$500K–$1M
Co-Op,279000,1,1,750.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6179165,-73.9546305,Brooklyn,372.0,< $500K
Condo,528000,1,1,602.0,"Brooklyn, NY 11219",New York,Kings County,Brooklyn,40.6275896,-74.0016198,Brooklyn,877.08,$500K–$1M
Multi-Family,1299888,11,4,3156.0,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.6155667,-74.0869554,Staten Island,411.88,$1M–$2M
Co-Op,275000,1,1,2184.207862,"Flushing, NY 11355",New York,Queens County,Queens,40.7528774,-73.8211834,Queens,125.9,< $500K
Condo,1165000,1,1,815.0,"Brooklyn, NY 11249",New York,Kings County,Brooklyn,40.711969,-73.9649468,Brooklyn,1429.45,$1M–$2M
Multi-Family,1199000,6,5,3290.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.5159256,-74.2361135,Staten Island,364.44,$1M–$2M
Multi-Family,700000,6,2,3053.0,"Bronx, NY 10453",United States,New York,Bronx County,40.852813,-73.9176871,Bronx,229.28,$500K–$1M
Multi-Family,2150000,8,4,3200.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.614446,-73.9795824,Brooklyn,671.88,$2M–$5M
Multi-Family,1280000,7,5,2460.0,"Woodhaven, NY 11421",United States,New York,Queens County,40.688312,-73.856322,Queens,520.33,$1M–$2M
Co-Op,199900,1,1,2184.207862,"Bronx, NY 10451",New York,Bronx County,The Bronx,40.8260352,-73.9256625,Bronx,91.52,< $500K
Co-Op,369000,2,1,2184.207862,"Flushing, NY 11355",New York,Queens County,Queens,40.753455,-73.8209077,Queens,168.94,< $500K
Multi-Family,699000,4,3,1591.0,"Jamaica, NY 11435",United States,New York,Queens County,40.6847504,-73.8027331,Queens,439.35,$500K–$1M
Co-Op,4250000,3,2,2400.0,"Manhattan, NY 10012",New York,New York County,New York,40.725464,-73.9999212,Manhattan,1770.83,$2M–$5M
Multi-Family,825000,2,2,2184.207862,"Flushing, NY 11358",United States,New York,Queens County,40.768457,-73.789417,Queens,377.71,$500K–$1M
Condo,329000,2,1,837.0,"Staten Island, NY 10304",New York,Richmond County,Staten Island,40.6315346,-74.0856344,Staten Island,393.07,< $500K
Multi-Family,889000,2,2,1520.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6233188,-74.1259917,Staten Island,584.87,$500K–$1M
Multi-Family,769000,2,2,2184.207862,"Richmond Hill South, NY 11419",United States,New York,Queens County,40.6868333,-73.8309133,Queens,352.07,$500K–$1M
Multi-Family,1200000,4,2,2536.0,"Brooklyn, NY 11214",United States,New York,Kings County,40.6042861,-74.0012526,Brooklyn,473.19,$1M–$2M
Co-Op,220500,2,1,900.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.6481488,-74.0847983,Staten Island,245.0,< $500K
Multi-Family,1999000,3,3,2739.0,"Brooklyn, NY 11209",United States,New York,Kings County,40.6281691,-74.0297598,Brooklyn,729.83,$1M–$2M
Co-Op,3250000,2,2,1300.0,"New York, NY 10013",New York County,New York,Manhattan,40.7199716,-73.9980266,Manhattan,2500.0,$2M–$5M
Condo,1650000,2,2,1267.0,"Brooklyn, NY 11231",New York,Kings County,Brooklyn,40.6866098,-73.9997131,Brooklyn,1302.29,$1M–$2M
Multi-Family,1049000,4,4,2554.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.5016233,-74.2417531,Staten Island,410.73,$1M–$2M
House,998800,3,4,2400.0,"Staten Island, NY 10301",United States,New York,Richmond County,40.6175,-74.103996,Staten Island,416.17,$500K–$1M
House,998800,3,4,2400.0,"Staten Island, NY 10301",10301,United States,New York,40.618648,-74.1019085,Manhattan,416.17,$500K–$1M
For Sale,3150000,3,2,1952.0,"Brooklyn, NY 11217",New York,Kings County,Brooklyn,40.6754035,-73.9742051,Brooklyn,1613.73,$2M–$5M
Co-Op,849000,1,1,2184.207862,"Manhattan, NY 10023",New York,New York County,New York,40.7802357,-73.9846328,Manhattan,388.7,$500K–$1M
Co-Op,559500,1,1,800.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5751942,-73.9669983,Brooklyn,699.38,$500K–$1M
Co-Op,750000,1,1,835.0,"New York, NY 10065",New York,New York County,New York,40.7643711,-73.9593578,Manhattan,898.2,$500K–$1M
Condo,1900000,2,2,1029.0,"New York, NY 10002",New York,New York County,New York,40.7193408,-73.9856438,Manhattan,1846.45,$1M–$2M
Condo,1250000,2,2,1201.0,"Brooklyn, NY 11218",New York,Kings County,Brooklyn,40.6400234,-73.9676099,Brooklyn,1040.8,$1M–$2M
Condo,1395000,2,2,1182.0,"Brooklyn, NY 11238",New York,Kings County,Brooklyn,40.6787789,-73.9643728,Brooklyn,1180.2,$1M–$2M
Co-Op,198000,1,1,2184.207862,"Woodhaven, NY 11421",New York,Queens County,Queens,40.700309,-73.8535466,Queens,90.65,< $500K
Contingent,619888,3,2,1400.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5632116,-74.1002521,Staten Island,442.78,$500K–$1M
Multi-Family,1489000,6,2,3780.0,"Staten Island, NY 10308",United States,New York,Richmond County,40.5395319,-74.1450877,Staten Island,393.92,$1M–$2M
Townhouse,65000000,3,2,15200.0,"New York, NY 10075",United States,New York,New York County,40.7765613,-73.9633167,Manhattan,4276.32,$10M–$50M
Condo,1595000,3,3,1413.0,"Brooklyn, NY 11221",United States,New York,Kings County,40.6915139,-73.935444,Brooklyn,1128.8,$1M–$2M
Condo,655000,3,2,803.0,"Brooklyn, NY 11237",United States,New York,Kings County,40.6967268,-73.9074036,Brooklyn,815.69,$500K–$1M
Condo,1175000,2,2,1115.0,"Brooklyn, NY 11221",New York,Kings County,Brooklyn,40.6915139,-73.935444,Brooklyn,1053.81,$1M–$2M
Multi-Family,2880000,9,2,2350.0,"Whitestone, NY 11357",United States,New York,Queens County,40.7832094,-73.7967588,Queens,1225.53,$2M–$5M
Multi-Family,798000,3,4,2150.0,"Staten Island, NY 10305",United States,New York,Richmond County,40.5874844,-74.0701056,Staten Island,371.16,$500K–$1M
