type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,latitude,longitude,borough,price_per_sqft,price_range
Contingent,898000,3,1,2744.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5789553,-74.1138794,Staten Island,327.26,$500K–$1M
Condo,500000,1,1,720.0,"Manhattan, NY 10035",New York,New York County,New York,40.7983883,-73.937888,Manhattan,694.44,< $500K
House,695000,3,2,1926.0,"Brooklyn, NY 11208",United States,New York,Kings County,40.6713641,-73.8673475,Brooklyn,360.85,$500K–$1M
Co-Op,215000,3,1,2184.207862,"Rego Park, NY 11374",United States,New York,Queens County,40.7337965,-73.8620837,Queens,98.43,< $500K
House,759000,3,1,2184.207862,"Middle Village, NY 11379",United States,New York,Queens County,40.7142473,-73.8830471,Queens,347.49,$500K–$1M
Co-Op,375000,1,1,1185.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.638118,-74.073964,Staten Island,316.46,< $500K
Multi-Family,2700000,24,24,18936.0,"Brooklyn, NY 11203",New York,Kings County,Brooklyn,40.6401806,-73.9429395,Brooklyn,142.59,$2M–$5M
Co-Op,389888,1,1,730.0,"Jackson Heights, NY 11372",United States,New York,Queens County,40.7479556,-73.8929488,Queens,534.09,< $500K
Co-Op,285000,1,1,900.0,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5811062,-73.966749,Brooklyn,316.67,< $500K
Co-Op,2795000,4,2,2184.207862,"Manhattan, NY 10025",New York,New York County,New York,40.7975649,-73.9720384,Manhattan,1279.64,$2M–$5M
Condo,674999,3,1,1299.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.6403656,-74.0737574,Staten Island,519.63,$500K–$1M
Townhouse,12995000,4,4,5608.0,"New York, NY 10021",United States,New York,New York County,40.7694487,-73.9634625,Manhattan,2317.23,$10M–$50M
House,759000,3,2,1260.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6184347,-73.9113421,Brooklyn,602.38,$500K–$1M
Condo,995000,2,2,1030.0,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,40.6655513,-73.9922171,Brooklyn,966.02,$500K–$1M
Co-Op,229000,1,1,2184.207862,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5874249,-73.9487987,Brooklyn,104.84,< $500K
Co-Op,239000,1,1,800.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.880985,-73.9102329,Bronx,298.75,< $500K
Co-Op,315000,2,1,2184.207862,"Manhattan, NY 10037",New York,New York County,New York,40.8101633,-73.9387972,Manhattan,144.22,< $500K
House,1100000,5,3,2192.0,"Howard Beach, NY 11414",United States,New York,Queens County,40.6500222,-73.844778,Queens,501.82,$1M–$2M
Co-Op,225000,1,1,2184.207862,"Astoria, NY 11105",New York,Queens County,Queens,40.7753572,-73.9085482,Queens,103.01,< $500K
House,868000,3,2,1484.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5802397,-74.1018122,Staten Island,584.91,$500K–$1M
Multi-Family,1380000,5,3,2184.207862,"East Elmhurst, NY 11369",United States,New York,Queens County,40.7600366,-73.8692081,Queens,631.81,$1M–$2M
House,1100000,4,2,1800.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.5103369,-74.2424867,Staten Island,611.11,$1M–$2M
Co-Op,865000,1,1,2184.207862,"Manhattan, NY 10016",New York,New York County,New York,40.743373,-73.983626,Manhattan,396.02,$500K–$1M
House,749000,3,2,1800.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6105648,-74.1237991,Staten Island,416.11,$500K–$1M
Multi-Family,775000,5,2,1600.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8166622,-73.8139448,Bronx,484.38,$500K–$1M
Co-Op,2395000,2,2,1650.0,"New York, NY 10022",United States,New York,New York County,40.7588081,-73.9647057,Manhattan,1451.52,$2M–$5M
Multi-Family,2300000,8,6,4000.0,"Brooklyn, NY 11228",United States,New York,Kings County,40.608367,-74.0112145,Brooklyn,575.0,$2M–$5M
Condo,700000,1,2,900.0,"New York, NY 10030",New York,New York County,New York,40.8211582,-73.9445475,Manhattan,777.78,$500K–$1M
Multi-Family,775000,5,2,1600.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8166622,-73.8139448,Bronx,484.38,$500K–$1M
House,749000,3,2,1800.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6105648,-74.1237991,Staten Island,416.11,$500K–$1M
Condo,450000,3,1,494.0,"Brooklyn, NY 11220",New York,Kings County,Brooklyn,40.646643,-74.011966,Brooklyn,910.93,< $500K
Co-Op,865000,1,1,2184.207862,"Manhattan, NY 10016",New York,New York County,New York,40.743373,-73.983626,Manhattan,396.02,$500K–$1M
Co-Op,280000,3,1,2184.207862,"Manhattan, NY 10028",New York,New York County,New York,40.7737792,-73.9495867,Manhattan,128.19,< $500K
House,1100000,4,2,1800.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.5103369,-74.2424867,Staten Island,611.11,$1M–$2M
Condo,3890000,3,4,2446.0,"New York, NY 10017",New York,New York County,New York,40.7518502,-73.9725168,Manhattan,1590.35,$2M–$5M
Co-Op,198000,1,1,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,40.720847,-73.858929,Queens,90.65,< $500K
House,1099000,3,2,1092.0,"Staten Island, NY 10305",United States,New York,Richmond County,40.6038744,-74.0739123,Staten Island,1006.41,$1M–$2M
Co-Op,779000,1,1,800.0,"New York, NY 10024",New York,New York County,New York,40.792004,-73.9767816,Manhattan,973.75,$500K–$1M
Multi-Family,1880000,5,2,1850.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.6184547,-73.9949244,Brooklyn,1016.22,$1M–$2M
House,509000,3,1,1100.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8181427,-73.8105454,Bronx,462.73,$500K–$1M
Condo,499000,1,1,845.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.611469,-73.954103,Brooklyn,590.53,< $500K
Co-Op,204888,3,1,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7284499,-73.8492399,Queens,93.8,< $500K
Multi-Family,1499000,8,3,3300.0,"Bronx, NY 10466",United States,New York,Bronx County,40.8998618,-73.852221,Bronx,454.24,$1M–$2M
House,1295000,8,3,3050.0,"Brooklyn, NY 11235",United States,New York,Kings County,40.578698,-73.9551566,Brooklyn,424.59,$1M–$2M
Co-Op,7500000,3,2,6000.0,"Manhattan, NY 10012",New York,New York County,New York,40.7227148,-73.9993678,Manhattan,1250.0,$5M–$10M
Condo,395000,1,1,519.0,"Queens, NY 11367",United States,New York,Queens County,40.7267616,-73.8294609,Queens,761.08,< $500K
Multi-Family,760000,4,2,1490.0,"Staten Island, NY 10305",United States,New York,Richmond County,40.6100159,-74.0754726,Staten Island,510.07,$500K–$1M
House,988000,4,3,1552.0,"Flushing, NY 11366",United States,New York,Queens County,40.7264779,-73.8093514,Queens,636.6,$500K–$1M
Condo,528000,2,1,753.0,"Flushing, NY 11367",United States,New York,Queens County,40.7267616,-73.8294609,Queens,701.2,$500K–$1M
Multi-Family,949000,5,4,2184.207862,"Brooklyn, NY 11207",United States,New York,Kings County,40.6651608,-73.8881575,Brooklyn,434.48,$500K–$1M
Condo,420000,2,1,840.0,"Staten Island, NY 10314",New York,Richmond County,Staten Island,40.5945609,-74.1596635,Staten Island,500.0,< $500K
Condo,1750000,3,2,1494.0,"New York, NY 10024",New York,New York County,New York,40.7847793,-73.9778528,Manhattan,1171.35,$1M–$2M
Co-Op,268000,1,1,850.0,"Flushing, NY 11354",New York,Queens County,Queens,40.7741978,-73.8256676,Queens,315.29,< $500K
House,849000,3,2,2184.207862,"Corona, NY 11368",United States,New York,Queens County,40.7398873,-73.8506134,Queens,388.7,$500K–$1M
Multi-Family,1095000,3,2,2184.207862,"Astoria, NY 11103",United States,New York,Queens County,40.757489,-73.9116062,Queens,501.33,$1M–$2M
Condo,4295000,3,2,2615.0,"New York, NY 10019",New York,New York County,New York,40.7688045,-73.9862514,Manhattan,1642.45,$2M–$5M
Multi-Family,720000,3,2,2184.207862,"Richmond Hill, NY 11418",United States,New York,Queens County,40.6899814,-73.8185297,Queens,329.64,$500K–$1M
Multi-Family,1900000,3,2,3500.0,"Bronx, NY 10462",United States,New York,Bronx County,40.8462523,-73.8671523,Bronx,542.86,$1M–$2M
House,729999,3,2,1056.0,"Jamaica, NY 11436",United States,New York,Queens County,40.6762428,-73.7945184,Queens,691.29,$500K–$1M
Co-Op,425000,3,1,2184.207862,"New York, NY 10025",New York,New York County,New York,40.7957436,-73.9699861,Manhattan,194.58,< $500K
House,848000,3,3,1080.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.6180243,-73.9971092,Brooklyn,785.19,$500K–$1M
Co-Op,213000,3,1,430.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6339914,-73.9689071,Brooklyn,495.35,< $500K
Multi-Family,795000,3,2,1725.0,"Brooklyn, NY 11233",United States,New York,Kings County,40.6781645,-73.9185084,Brooklyn,460.87,$500K–$1M
Condo,1350000,2,1,2184.207862,"Brooklyn, NY 11217",United States,New York,Kings County,40.6799762,-73.9787904,Brooklyn,618.07,$1M–$2M
Co-Op,649000,2,2,1500.0,"Floral Park, NY 11005",New York,Queens County,Queens,40.7568337,-73.715194,Queens,432.67,$500K–$1M
Co-Op,439000,2,1,900.0,"Bayside, NY 11360",New York,Queens County,Queens,40.7877465,-73.7810708,Queens,487.78,< $500K
Multi-Family,1699000,5,5,2184.207862,"Astoria, NY 11105",United States,New York,Queens County,40.7691484,-73.9073703,Queens,777.86,$1M–$2M
Condo,2375000,2,2,986.0,"Queens, NY 11101",United States,New York,Queens County,40.7478785,-73.9444755,Queens,2408.72,$2M–$5M
Co-Op,349999,1,1,2184.207862,"Rego Park, NY 11374",New York,Queens County,Queens,40.7318958,-73.8599645,Queens,160.24,< $500K
House,425000,2,1,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,40.6779035,-73.799284,Queens,194.58,< $500K
House,1650000,3,4,2272.0,"Brooklyn, NY 11235",United States,New York,Kings County,40.5799535,-73.9383472,Brooklyn,726.23,$1M–$2M
House,699000,3,2,2184.207862,"Brooklyn, NY 11236",United States,New York,Kings County,40.64539,-73.8897652,Brooklyn,320.02,$500K–$1M
Co-Op,1150000,1,1,984.0,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,40.6946221,-73.9969945,Brooklyn,1168.7,$1M–$2M
House,2399000,5,5,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,40.6115517,-73.9061979,Brooklyn,1098.34,$2M–$5M
Multi-Family,989000,8,5,3252.0,"Bronx, NY 10466",United States,New York,Bronx County,40.8850441,-73.8562999,Bronx,304.12,$500K–$1M
Co-Op,318888,1,1,875.0,"Corona, NY 11368",New York,Queens County,Queens,40.736926,-73.8577614,Queens,364.44,< $500K
Co-Op,799000,2,2,1549.0,"Floral Park, NY 11005",New York,Queens County,Queens,40.7568337,-73.715194,Queens,515.82,$500K–$1M
Co-Op,489000,2,1,950.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.620502,-74.0396973,Brooklyn,514.74,< $500K
Co-Op,398000,2,1,900.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6337679,-74.0305471,Brooklyn,442.22,< $500K
House,1190000,3,2,1088.0,"Brooklyn, NY 11235",United States,New York,Kings County,40.5787747,-73.9401956,Brooklyn,1093.75,$1M–$2M
Townhouse,795000,5,2,2184.207862,"Brooklyn, NY 11208",United States,New York,Kings County,40.6678086,-73.8739629,Brooklyn,363.98,$500K–$1M
Multi-Family,750000,3,4,2184.207862,"Brooklyn, NY 11203",United States,New York,Kings County,40.6463635,-73.9325263,Brooklyn,343.37,$500K–$1M
Condo,899999,3,3,1750.0,"Flushing, NY 11354",New York,Queens County,Queens,40.7654814,-73.8178731,Queens,514.29,$500K–$1M
Townhouse,795000,5,2,2184.207862,"Brooklyn, NY 11208",United States,New York,Kings County,40.6678086,-73.8739629,Brooklyn,363.98,$500K–$1M
Multi-Family,750000,3,4,2184.207862,"Brooklyn, NY 11203",United States,New York,Kings County,40.6463635,-73.9325263,Brooklyn,343.37,$500K–$1M
Condo,899999,3,3,1750.0,"Flushing, NY 11354",New York,Queens County,Queens,40.7654814,-73.8178731,Queens,514.29,$500K–$1M
Condo,1325000,3,2,1597.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6163434,-74.0377889,Brooklyn,829.68,$1M–$2M
Townhouse,595000,1,2,846.0,"Brooklyn, NY 11213",New York,Kings County,Brooklyn,40.6749628,-73.9401841,Brooklyn,703.31,$500K–$1M
Multi-Family,10700000,42,43,27152.0,"Staten Island, NY 10302",United States,New York,Richmond County,40.6276713,-74.1423518,Staten Island,394.08,$10M–$50M
Condo,330000,1,1,726.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.6299335,-74.0999243,Staten Island,454.55,< $500K
Condo,2998000,3,3,1763.0,"Queens, NY 11109",United States,New York,Queens County,40.7465758,-73.9569744,Queens,1700.51,$2M–$5M
Co-Op,425000,2,1,2184.207862,"Brooklyn, NY 11206",New York,Kings County,Brooklyn,40.699914,-73.936622,Brooklyn,194.58,< $500K
Co-Op,345000,2,1,1000.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8819273,-73.9172822,Bronx,345.0,< $500K
Condo,999000,2,2,1187.0,"Flushing, NY 11355",New York,Queens County,Queens,40.7560001,-73.8293002,Queens,841.62,$500K–$1M
House,450000,3,2,2184.207862,"Queens, NY 11413",United States,New York,Queens County,40.681047,-73.754428,Queens,206.02,< $500K
Co-Op,135000,2,1,750.0,"Bronx, NY 10459",New York,Bronx County,The Bronx,40.8224272,-73.8900397,Bronx,180.0,< $500K
Condo,261250,2,1,857.0,"Bronx, NY 10459",New York,Bronx County,The Bronx,40.8245968,-73.8898403,Bronx,304.84,< $500K
Condo,728000,3,2,1450.0,"Woodside, NY 11377",New York,Queens County,Queens,40.7436792,-73.8983202,Queens,502.07,$500K–$1M
Multi-Family,3200000,3,2,3735.0,"New York, NY 10035",United States,New York,New York County,40.8093495,-73.9398627,Manhattan,856.76,$2M–$5M
Condo,1950000,3,3,1300.0,"Manhattan, NY 10028",New York,New York County,New York,40.7770634,-73.9522998,Manhattan,1500.0,$1M–$2M
Co-Op,600000,2,2,900.0,"New York, NY 10033",New York,New York County,New York,40.8535911,-73.9359601,Manhattan,666.67,$500K–$1M
Multi-Family,3200000,3,2,3735.0,"New York, NY 10035",United States,New York,New York County,40.8093495,-73.9398627,Manhattan,856.76,$2M–$5M
Condo,569000,1,1,739.0,"Brooklyn, NY 11223",New York,Kings County,Brooklyn,40.604365,-73.9757485,Brooklyn,769.96,$500K–$1M
Co-Op,749000,1,1,2184.207862,"Manhattan, NY 10012",New York,New York County,New York,40.7241044,-74.0035529,Manhattan,342.92,$500K–$1M
House,2488000,4,2,3850.0,"Brooklyn, NY 11235",United States,New York,Kings County,40.5762337,-73.9511136,Brooklyn,646.23,$2M–$5M
Multi-Family,1138000,5,3,1026.0,"Brooklyn, NY 11219",United States,New York,Kings County,40.6240315,-73.9954118,Brooklyn,1109.16,$1M–$2M
Multi-Family,1359000,11,6,2240.0,"Brooklyn, NY 11221",United States,New York,Kings County,40.6941915,-73.913053,Brooklyn,606.7,$1M–$2M
Multi-Family,3720000,8,8,5500.0,"Manhattan, NY 10002",United States,New York,New York County,40.7158959,-73.989796,Manhattan,676.36,$2M–$5M
Multi-Family,974998,7,2,2184.207862,"Brooklyn, NY 11208",United States,New York,Kings County,40.675444,-73.8823121,Brooklyn,446.39,$500K–$1M
Co-Op,300000,3,1,600.0,"Brooklyn, NY 11218",New York,Kings County,Brooklyn,40.6372695,-73.9712947,Brooklyn,500.0,< $500K
House,729000,3,3,2184.207862,"Saint Albans, NY 11412",United States,New York,Queens County,40.7052223,-73.7583006,Queens,333.76,$500K–$1M
Co-Op,750000,2,2,2184.207862,"New York, NY 10065",New York,New York County,New York,40.7651716,-73.9678719,Manhattan,343.37,$500K–$1M
House,599000,3,2,1120.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.5863749,-74.1470603,Staten Island,534.82,$500K–$1M
Townhouse,11950000,6,5,5336.0,"New York, NY 10021",United States,New York,New York County,40.772751,-73.9650884,Manhattan,2239.51,$10M–$50M
Co-Op,825000,1,2,1100.0,"New York, NY 10128",New York,New York County,New York,40.7766673,-73.9439269,Manhattan,750.0,$500K–$1M
House,800000,3,2,2184.207862,"Brooklyn, NY 11221",United States,New York,Kings County,40.6899365,-73.9294828,Brooklyn,366.27,$500K–$1M
Co-Op,289000,3,1,2184.207862,"Brooklyn, NY 11218",New York,Kings County,Brooklyn,40.646116,-73.98134,Brooklyn,132.31,< $500K
Condo,4750000,4,4,4100.0,"New York, NY 10011",New York,New York County,New York,40.7375173,-73.9979625,Manhattan,1158.54,$2M–$5M
Co-Op,899999,2,1,2184.207862,"New York, NY 10003",New York,New York County,New York,40.7308571,-73.9878596,Manhattan,412.05,$500K–$1M
Townhouse,868000,2,2,1152.0,"Middle Village, NY 11379",United States,New York,Queens County,40.7259203,-73.8814296,Queens,753.47,$500K–$1M
Condo,3995000,3,3,1637.0,"Manhattan, NY 10011",New York,New York County,New York,40.7435613,-74.0063336,Manhattan,2440.44,$2M–$5M
House,1500000,3,2,1240.0,"Brooklyn, NY 11214",United States,New York,Kings County,40.6045606,-74.0114555,Brooklyn,1209.68,$1M–$2M
House,625000,4,2,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,40.6283989,-73.9334448,Brooklyn,286.14,$500K–$1M
House,520000,3,2,1705.0,"Bronx, NY 10457",United States,New York,Bronx County,40.8536129,-73.8933593,Bronx,304.99,$500K–$1M
Multi-Family,749900,5,2,1400.0,"Brooklyn, NY 11208",United States,New York,Kings County,40.6754664,-73.8780744,Brooklyn,535.64,$500K–$1M
Multi-Family,799000,6,4,2310.0,"Bronx, NY 10466",United States,New York,Bronx County,40.897885,-73.8562199,Bronx,345.89,$500K–$1M
Co-Op,959000,3,4,1993.0,"Floral Park, NY 11005",New York,Queens County,Queens,40.7564761,-73.7212008,Queens,481.18,$500K–$1M
Multi-Family,888000,5,3,2980.0,"East Flatbush, NY 11203",United States,New York,Kings County,40.6484284,-73.9166783,Brooklyn,297.99,$500K–$1M
House,725000,2,2,988.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5821761,-74.1078688,Staten Island,733.81,$500K–$1M
Townhouse,19995000,7,6,8200.0,"New York, NY 10028",United States,New York,New York County,40.7777833,-73.962008,Manhattan,2438.41,$10M–$50M
Condo,744000,2,1,890.0,"Queens, NY 11106",New York,Queens County,Queens,40.7592629,-73.9257407,Queens,835.96,$500K–$1M
Condo,4595000,4,4,3052.0,"New York, NY 10009",New York,New York County,New York,40.7241883,-73.9804574,Manhattan,1505.57,$2M–$5M
Co-Op,475000,1,1,2184.207862,"Brooklyn, NY 11238",New York,Kings County,Brooklyn,40.671881,-73.961562,Brooklyn,217.47,< $500K
Co-Op,189000,2,1,800.0,"Bronx, NY 10462",New York,Bronx County,The Bronx,40.8522362,-73.8655005,Bronx,236.25,< $500K
House,998888,4,3,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,40.682563,-73.799077,Queens,457.32,$500K–$1M
Co-Op,32000000,4,6,7500.0,"New York, NY 10012",United States,New York,New York County,40.7237571,-74.0021582,Manhattan,4266.67,$10M–$50M
Multi-Family,3250000,6,4,3059.0,"Brooklyn, NY 11238",United States,New York,Kings County,40.6877385,-73.9618932,Brooklyn,1062.44,$2M–$5M
Multi-Family,769000,7,2,2100.0,"Staten Island, NY 10304",United States,New York,Richmond County,40.6219621,-74.0832854,Staten Island,366.19,$500K–$1M
House,648998,3,2,1296.0,"Bronx, NY 10469",United States,New York,Bronx County,40.8611669,-73.8467192,Bronx,500.77,$500K–$1M
House,1699900,7,5,2418.0,"Brooklyn, NY 11207",United States,New York,Kings County,40.6898884,-73.9085265,Brooklyn,703.02,$1M–$2M
Co-Op,395250,1,1,650.0,"Astoria, NY 11106",New York,Queens County,Queens,40.7642499,-73.92761,Queens,608.08,< $500K
House,539000,3,2,972.0,"Staten Island, NY 10305",United States,New York,Richmond County,40.6104417,-74.0628522,Staten Island,554.53,$500K–$1M
Townhouse,1348000,5,2,2184.207862,"Queens, NY 11368",United States,New York,Queens County,40.7462947,-73.8595834,Queens,617.16,$1M–$2M
Condo,1450000,3,3,1855.0,"Flushing, NY 11354",New York,Queens County,Queens,40.7573108,-73.8341865,Queens,781.67,$1M–$2M
Co-Op,465000,2,1,2184.207862,"Jackson Heights, NY 11372",United States,New York,Queens County,40.7483992,-73.8795703,Queens,212.89,< $500K
Condo,6500000,2,2,1639.0,"New York, NY 10019",New York,New York County,New York,40.7601885,-73.9843625,Manhattan,3965.83,$5M–$10M
Co-Op,297000,1,1,800.0,"Forest Hills, NY 11375",New York,Queens County,Queens,40.7322799,-73.85181,Queens,371.25,< $500K
Co-Op,244900,1,1,518.0,"Glen Oaks, NY 11004",New York,Queens County,Queens,40.7511183,-73.7160095,Queens,472.78,< $500K
House,2480000,4,4,5150.0,"Whitestone, NY 11357",United States,New York,Queens County,40.7932103,-73.8161976,Queens,481.55,$2M–$5M
Co-Op,230000,1,1,2184.207862,"Forest Hills, NY 11375",New York,Queens County,Queens,40.736005,-73.849174,Queens,105.3,< $500K
Condo,780000,2,2,825.0,"Brooklyn, NY 11230",United States,New York,Kings County,40.6288601,-73.9704912,Brooklyn,945.45,$500K–$1M
Townhouse,4875000,3,3,2184.207862,"New York, NY 10016",United States,New York,New York County,40.748964,-73.978301,Manhattan,2231.93,$2M–$5M
Co-Op,539999,3,2,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.7563263,-73.8752379,Queens,247.23,$500K–$1M
Co-Op,750000,2,2,1193.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,40.8825618,-73.9212739,Bronx,628.67,$500K–$1M
Condo,2249000,2,3,2321.0,"New York, NY 10016",New York,New York County,New York,40.7486775,-73.9819284,Manhattan,968.98,$2M–$5M
Co-Op,270000,2,1,700.0,"Astoria, NY 11101",New York,Queens County,Queens,40.7751901,-73.9090015,Queens,385.71,< $500K
Co-Op,1950000,2,2,2184.207862,"Manhattan, NY 10014",New York,New York County,New York,40.7380264,-74.0053843,Manhattan,892.77,$1M–$2M
Co-Op,240000,2,1,2184.207862,"Woodhaven, NY 11421",New York,Queens County,Queens,40.6987743,-73.8529203,Queens,109.88,< $500K
Condo,628000,3,2,900.0,"Elmhurst, NY 11373",New York,Queens County,Queens,40.7376925,-73.8803546,Queens,697.78,$500K–$1M
Co-Op,399000,2,1,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.7544847,-73.8740993,Queens,182.67,< $500K
House,687000,2,1,2184.207862,"Bronx, NY 10465",United States,New York,Bronx County,40.8214203,-73.8062717,Bronx,314.53,$500K–$1M
Townhouse,588000,2,2,2000.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.5904561,-74.1521059,Staten Island,294.0,$500K–$1M
Multi-Family,825000,5,3,2184.207862,"Bronx, NY 10472",United States,New York,Bronx County,40.8296973,-73.8768124,Bronx,377.71,$500K–$1M
Co-Op,240000,2,1,2184.207862,"Woodhaven, NY 11421",New York,Queens County,Queens,40.6987743,-73.8529203,Queens,109.88,< $500K
Condo,285000,2,1,835.0,"Bronx, NY 10462",New York,Bronx County,The Bronx,40.8396194,-73.8587548,Bronx,341.32,< $500K
Condo,595000,3,1,915.0,"Brooklyn, NY 11205",New York,Kings County,Brooklyn,40.6944083,-73.9595899,Brooklyn,650.27,$500K–$1M
Condo,899000,2,2,1697.0,"Staten Island, NY 10301",New York,Richmond County,Staten Island,40.6403656,-74.0737574,Staten Island,529.76,$500K–$1M
Townhouse,2995000,5,2,4900.0,"New York, NY 10030",United States,New York,New York County,40.8178071,-73.9440991,Manhattan,611.22,$2M–$5M
House,1180000,4,3,2184.207862,"Fresh Meadows, NY 11366",United States,New York,Queens County,40.7335974,-73.7788656,Queens,540.24,$1M–$2M
Contingent,799900,4,4,1816.0,"Staten Island, NY 10308",United States,New York,Richmond County,40.5570416,-74.1462231,Staten Island,440.47,$500K–$1M
Co-Op,130000,1,1,2184.207862,"Bronx, NY 10468",New York,Bronx County,The Bronx,40.8653458,-73.9073691,Bronx,59.52,< $500K
House,849999,3,2,2184.207862,"Flushing, NY 11367",United States,New York,Queens County,40.7226341,-73.8165656,Queens,389.16,$500K–$1M
Co-Op,185000,1,1,850.0,"Bronx, NY 10463",United States,New York,Bronx County,40.8789917,-73.9020914,Bronx,217.65,< $500K
House,1275000,4,2,2184.207862,"Floral Park, NY 11001",United States,New York,Queens County,40.7289806,-73.7083891,Queens,583.74,$1M–$2M
Multi-Family,2798000,5,3,3400.0,"Brooklyn, NY 11215",United States,New York,Kings County,40.657854,-73.975525,Brooklyn,822.94,$2M–$5M
Co-Op,359000,2,1,950.0,"Flushing, NY 11354",New York,Queens County,Queens,40.7733297,-73.8274665,Queens,377.89,< $500K
House,988000,3,1,1296.0,"Flushing, NY 11355",United States,New York,Queens County,40.7540089,-73.8189203,Queens,762.35,$500K–$1M
Co-Op,800000,1,1,2184.207862,"Manhattan, NY 10017",New York,New York County,New York,40.7486602,-73.9720523,Manhattan,366.27,$500K–$1M
Co-Op,400000,2,1,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.7536299,-73.88596,Queens,183.13,< $500K
Multi-Family,965000,5,3,3520.0,"Bronx, NY 10472",United States,New York,Bronx County,40.8247021,-73.8766066,Bronx,274.15,$500K–$1M
Multi-Family,1389000,5,2,2412.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6157428,-73.9345355,Brooklyn,575.87,$1M–$2M
Condo,525000,3,2,1185.0,"Bronx, NY 10473",New York,Bronx County,The Bronx,40.807969,-73.854213,Bronx,443.04,$500K–$1M
House,849999,3,2,2184.207862,"Flushing, NY 11367",United States,New York,Queens County,40.7226341,-73.8165656,Queens,389.16,$500K–$1M
Multi-Family,10000000,7,8,2184.207862,"New York, NY 10011",United States,New York,New York County,40.734814,-73.996305,Manhattan,4578.32,$5M–$10M
Co-Op,279000,2,1,2184.207862,"Bayside, NY 11364",United States,New York,Queens County,40.7408626,-73.7553116,Queens,127.74,< $500K
Townhouse,15995000,5,2,2184.207862,"New York, NY 10014",United States,New York,New York County,40.7311289,-74.0048678,Manhattan,7323.02,$10M–$50M
Multi-Family,1850000,3,4,2184.207862,"Brooklyn, NY 11204",United States,New York,Kings County,40.6140608,-73.9853215,Brooklyn,846.99,$1M–$2M
Multi-Family,2599000,11,6,5088.0,"Astoria, NY 11105",United States,New York,Queens County,40.7709381,-73.8973789,Queens,510.81,$2M–$5M
Co-Op,250000,1,1,800.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6180698,-73.9699744,Brooklyn,312.5,< $500K
Co-Op,2250000,3,2,2000.0,"Brooklyn, NY 11215",United States,New York,Kings County,40.665708,-73.976288,Brooklyn,1125.0,$2M–$5M
Multi-Family,1800000,9,7,2184.207862,"Astoria, NY 11105",United States,New York,Queens County,40.7723063,-73.9110206,Queens,824.1,$1M–$2M
Co-Op,350000,3,2,1100.0,"Brooklyn, NY 11234",New York,Kings County,Brooklyn,40.6297036,-73.9255951,Brooklyn,318.18,< $500K
House,1649000,4,3,1452.0,"Brooklyn, NY 11237",United States,New York,Kings County,40.7039659,-73.9210676,Brooklyn,1135.67,$1M–$2M
House,1370000,6,3,2184.207862,"Jamaica, NY 11432",United States,New York,Queens County,40.7102471,-73.8049849,Queens,627.23,$1M–$2M
Co-Op,360000,2,1,2184.207862,"New York, NY 10030",New York,New York County,New York,40.8165004,-73.9411037,Manhattan,164.82,< $500K
